Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000043,2026-02-12,SMB,Economy,Oli Top1,8066.8,Surabaya,Balikpapan,Hazmat
ORD000044,2026-02-13,SMB,Express,Oli Federal,7910.83,Balikpapan,Manado,None
ORD000045,2026-02-14,Individual,Economy,Sparepart Motor,1032.69,Makassar,Pontianak,Fragile
ORD000046,2026-02-15,Enterprise,Standard,Oli Top1,88.33,Jakarta,Palembang,Hazmat
ORD000047,2026-02-16,SMB,Express,Oli Top1,14542.31,Surabaya,Medan,Temperature_Controlled
ORD000048,2026-02-17,Enterprise,Standard,Oli Aspira,162.94,Jakarta,Makassar,None
ORD000049,2026-02-18,Individual,Standard,Sparepart Motor,293.0,Bandung,Balikpapan,Fragile
ORD000050,2026-02-19,Individual,Economy,Oli Federal,512.5,Surabaya,Jakarta,Hazmat
ORD000051,2026-02-20,Enterprise,Economy,Oli Top1,794.15,Makassar,Semarang,None
ORD000052,2026-02-21,SMB,Economy,Oli Top1,1059.66,Makassar,Medan,Hazmat
ORD000053,2026-02-22,Individual,Standard,Oli Aspira,1125.45,Balikpapan,Palembang,Temperature_Controlled
ORD000054,2026-02-23,SMB,Express,Oli Top1,324.8,Bandung,Surabaya,None
ORD000055,2026-02-24,SMB,Economy,Sparepart Motor,1099.0,Medan,Jakarta,Fragile
ORD000056,2026-02-25,Enterprise,Economy,Oli Federal,303.74,Jakarta,Pontianak,Hazmat
ORD000057,2026-02-26,Enterprise,Economy,Oli Top1,961.94,Surabaya,Balikpapan,None
ORD000058,2026-02-27,Individual,Standard,Oli Top1,850.6,Makassar,Manado,Hazmat
ORD000059,2026-02-28,Individual,Standard,Sparepart Motor,1266.83,Jakarta,Medan,Fragile
ORD000060,2026-03-01,SMB,Economy,Oli Aspira,1050.42,Surabaya,Pontianak,Temperature_Controlled
ORD000061,2026-03-02,SMB,Standard,Oli Top1,207.75,Balikpapan,Palembang,Hazmat
ORD000062,2026-03-03,SMB,Economy,Oli Federal,802.77,Medan,Jakarta,None
ORD000063,2026-03-04,Individual,Economy,Oli Top1,1075.03,Surabaya,Makassar,Hazmat
ORD000064,2026-03-05,Individual,Standard,Sparepart Motor,58.17,Jakarta,Semarang,Fragile
ORD000065,2026-03-06,Individual,Economy,Oli Top1,267.45,Makassar,Bandung,None
ORD000066,2026-03-07,Individual,Economy,Sparepart Motor,1004.43,Jakarta,Medan,Fragile
ORD000067,2026-03-08,SMB,Express,Oli Top1,5239.28,Surabaya,Palembang,Hazmat
ORD000068,2026-03-09,Enterprise,Economy,Oli Aspira,1390.4,Balikpapan,Manado,None
ORD000069,2026-03-10,Enterprise,Standard,Oli Federal,5759.28,Makassar,Pontianak,Hazmat
ORD000070,2026-03-11,Individual,Economy,Oli Top1,221.95,Medan,Jakarta,None
ORD000071,2026-03-12,SMB,Standard,Sparepart Motor,587.15,Jakarta,Bandung,Fragile
ORD000072,2026-03-13,Enterprise,Economy,Oli Top1,1351.0,Surabaya,Semarang,Hazmat
ORD000073,2026-03-14,Enterprise,Standard,Oli Top1,12.31,Balikpapan,Pontianak,Temperature_Controlled
ORD000074,2026-03-15,SMB,Express,Oli Federal,3890.16,Makassar,Medan,None
ORD000075,2026-03-16,Enterprise,Economy,Oli Aspira,24.75,Jakarta,Palembang,Hazmat
ORD000076,2026-03-17,Enterprise,Express,Oli Top1,1799.76,Surabaya,Makassar,None
ORD000077,2026-03-18,SMB,Standard,Sparepart Motor,1130.31,Balikpapan,Manado,Fragile
ORD000078,2026-03-19,SMB,Economy,Oli Top1,12.07,Medan,Jakarta,Hazmat
ORD000079,2026-03-20,SMB,Economy,Oli Federal,13.02,Makassar,Bandung,None
ORD000080,2026-03-21,Enterprise,Standard,Oli Top1,3458.96,Surabaya,Medan,Hazmat
ORD000081,2026-03-22,Individual,Standard,Sparepart Motor,2495.1,Jakarta,Palembang,Fragile
ORD000082,2026-03-23,Enterprise,Standard,Oli Aspira,107.63,Makassar,Balikpapan,None
ORD000083,2026-03-24,SMB,Standard,Oli Top1,107.47,Surabaya,Semarang,Hazmat
ORD000084,2026-03-25,Individual,Standard,Oli Federal,870.36,Jakarta,Pontianak,None
ORD000085,2026-03-26,SMB,Standard,Oli Top1,395.79,Balikpapan,Manado,Hazmat
ORD000086,2026-03-27,Individual,Economy,Sparepart Motor,1961.75,Medan,Jakarta,Fragile
ORD000087,2026-03-28,SMB,Economy,Oli Top1,828.3,Makassar,Bandung,None
ORD000088,2026-03-29,SMB,Economy,Oli Aspira,4335.3,Surabaya,Palembang,Fragile
ORD000089,2026-03-30,Enterprise,Express,Oli Top1,1728.69,Balikpapan,Pontianak,Hazmat
ORD000090,2026-03-31,SMB,Standard,Oli Federal,1189.35,Jakarta,Medan,Temperature_Controlled
ORD000091,2026-04-01,Enterprise,Express,Sparepart Motor,237.89,Surabaya,Makassar,Fragile
ORD000092,2026-04-02,Enterprise,Standard,Oli Top1,213.15,Jakarta,Semarang,Hazmat
ORD000093,2026-04-03,Individual,Standard,Oli Aspira,373.29,Medan,Balikpapan,None
ORD000094,2026-04-04,SMB,Economy,Oli Top1,6383.13,Surabaya,Pontianak,Hazmat
ORD000095,2026-04-05,Individual,Standard,Oli Federal,219.33,Jakarta,Manado,None
ORD000096,2026-04-06,SMB,Express,Oli Top1,596.33,Makassar,Bandung,Hazmat
ORD000097,2026-04-07,Individual,Express,Sparepart Motor,13.91,Surabaya,Jakarta,Fragile
ORD000098,2026-04-08,SMB,Economy,Oli Top1,1111.77,Medan,Palembang,None
ORD000099,2026-04-09,SMB,Standard,Oli Aspira,11917.91,Balikpapan,Makassar,Hazmat
ORD000100,2026-04-10,SMB,Express,Oli Top1,99.44,Jakarta,Pontianak,None
ORD000101,2026-04-11,Enterprise,Express,Oli Federal,47177.07,Surabaya,Medan,Hazmat
ORD000102,2026-04-12,Individual,Economy,Oli Top1,530.26,Makassar,Manado,None
ORD000103,2026-04-13,Enterprise,Express,Sparepart Motor,8.5,Balikpapan,Jakarta,Fragile
ORD000104,2026-04-14,Enterprise,Economy,Oli Top1,226.26,Surabaya,Bandung,Hazmat
ORD000105,2026-04-15,SMB,Economy,Oli Aspira,2968.04,Makassar,Palembang,Temperature_Controlled
ORD000106,2026-04-16,Enterprise,Express,Oli Top1,8094.79,Jakarta,Semarang,Hazmat
ORD000107,2026-04-17,Individual,Express,Oli Federal,1184.59,Surabaya,Balikpapan,None
ORD000108,2026-04-18,Individual,Economy,Oli Top1,4236.07,Makassar,Medan,Hazmat
ORD000109,2026-04-19,Individual,Standard,Sparepart Motor,68.95,Jakarta,Pontianak,Fragile
ORD000110,2026-04-20,SMB,Standard,Oli Top1,145.42,Balikpapan,Manado,None
ORD000111,2026-04-21,Enterprise,Economy,Oli Aspira,32.49,Surabaya,Jakarta,Hazmat
ORD000112,2026-04-22,Individual,Economy,Oli Top1,162.78,Makassar,Bandung,None
ORD000113,2026-04-23,SMB,Economy,Oli Federal,1265.06,Medan,Palembang,Hazmat
ORD000114,2026-04-24,Individual,Economy,Oli Top1,555.01,Jakarta,Surabaya,None
ORD000115,2026-04-25,Individual,Standard,Oli Aspira,1482.93,Surabaya,Balikpapan,Temperature_Controlled
ORD000116,2026-04-26,Individual,Express,Sparepart Motor,99.01,Makassar,Medan,Fragile
ORD000117,2026-04-27,Enterprise,Economy,Oli Top1,108.5,Jakarta,Manado,Hazmat
ORD000118,2026-04-28,SMB,Standard,Oli Top1,548.35,Balikpapan,Pontianak,None
ORD000119,2026-04-29,Individual,Standard,Oli Federal,163.37,Surabaya,Palembang,Hazmat
ORD000120,2026-04-30,SMB,Economy,Oli Top1,2843.45,Makassar,Jakarta,None
ORD000121,2026-05-01,Enterprise,Express,Sparepart Motor,157.41,Medan,Surabaya,Fragile
ORD000122,2026-05-02,SMB,Standard,Oli Aspira,191.89,Balikpapan,Makassar,Hazmat
ORD000123,2026-05-03,Individual,Express,Oli Top1,756.16,Jakarta,Bandung,None
ORD000124,2026-05-04,SMB,Standard,Oli Top1,224.99,Surabaya,Semarang,Hazmat
ORD000125,2026-05-05,SMB,Express,Oli Federal,63.28,Medan,Palembang,None
ORD000126,2026-05-06,Enterprise,Express,Sparepart Motor,77.55,Jakarta,Pontianak,Fragile
ORD000127,2026-05-07,SMB,Express,Oli Top1,903.84,Makassar,Manado,Hazmat
ORD000128,2026-05-08,Individual,Standard,Oli Aspira,52.56,Surabaya,Balikpapan,None
ORD000129,2026-05-09,Enterprise,Economy,Oli Top1,3280.49,Balikpapan,Medan,Hazmat
ORD000130,2026-05-10,SMB,Standard,Oli Federal,143.22,Jakarta,Palembang,None
ORD000131,2026-05-11,Individual,Economy,Sparepart Motor,1016.71,Makassar,Semarang,Fragile
ORD000132,2026-05-12,Individual,Standard,Oli Top1,156.71,Surabaya,Jakarta,Hazmat
ORD000133,2026-05-13,SMB,Standard,Oli Top1,102.22,Balikpapan,Bandung,None
ORD000134,2026-05-14,Individual,Economy,Oli Aspira,583.56,Medan,Manado,Temperature_Controlled
ORD000135,2026-05-15,SMB,Standard,Oli Federal,1954.08,Jakarta,Pontianak,Hazmat
ORD000136,2026-05-16,Enterprise,Economy,Oli Top1,278.37,Surabaya,Palembang,None
ORD000137,2026-05-17,Individual,Express,Sparepart Motor,365.69,Makassar,Balikpapan,Fragile
ORD000138,2026-05-18,Individual,Economy,Oli Top1,1354.42,Jakarta,Medan,Hazmat
ORD000139,2026-05-19,Individual,Express,Oli Federal,1423.38,Surabaya,Manado,None
ORD000140,2026-05-20,Individual,Economy,Sparepart Motor,380.8,Balikpapan,Palembang,Fragile
ORD000141,2026-01-01,SMB,Standard,Oli Top1,207.43,Makassar,Semarang,Hazmat
ORD000142,2026-01-05,SMB,Economy,Oli Aspira,456.68,Jakarta,Pontianak,None
ORD000143,2026-01-10,Individual,Express,Oli Top1,302.97,Surabaya,Bandung,Hazmat
ORD000144,2026-01-15,SMB,Standard,Oli Federal,645.14,Balikpapan,Medan,None
ORD000145,2026-01-20,Individual,Economy,Oli Top1,67.26,Jakarta,Manado,Hazmat
ORD000146,2026-01-25,Individual,Standard,Sparepart Motor,611.41,Makassar,Palembang,Fragile
ORD000147,2026-02-01,Individual,Standard,Oli Top1,137.35,Surabaya,Jakarta,None
ORD000148,2026-02-05,SMB,Standard,Oli Aspira,1570.0,Balikpapan,Pontianak,Hazmat
ORD000149,2026-02-10,SMB,Standard,Oli Federal,147.13,Makassar,Medan,None
ORD000150,2026-02-15,Enterprise,Standard,Sparepart Motor,151.01,Jakarta,Semarang,Fragile
ORD000151,2026-02-20,SMB,Standard,Oli Top1,786.9,Surabaya,Bandung,Hazmat
ORD000152,2026-02-25,Enterprise,Economy,Oli Top1,412.12,Makassar,Palembang,None
ORD000153,2026-03-01,SMB,Express,Oli Federal,12270.8,Jakarta,Manado,Hazmat
ORD000154,2026-03-05,SMB,Standard,Oli Top1,35.02,Balikpapan,Medan,Fragile
ORD000155,2026-03-10,Enterprise,Economy,Sparepart Motor,475.7,Surabaya,Pontianak,None
ORD000156,2026-03-15,SMB,Economy,Oli Aspira,2196.18,Makassar,Jakarta,Temperature_Controlled
ORD000157,2026-03-20,Enterprise,Standard,Oli Top1,169.45,Medan,Surabaya,Hazmat
ORD000158,2026-03-25,Enterprise,Standard,Oli Federal,102.94,Balikpapan,Palembang,None
ORD000159,2026-03-30,Individual,Standard,Oli Top1,109.26,Jakarta,Manado,None
ORD000160,2026-04-04,SMB,Express,Sparepart Motor,35.95,Surabaya,Bandung,Fragile
ORD000161,2026-04-09,Enterprise,Standard,Oli Top1,3055.07,Makassar,Medan,Hazmat
ORD000162,2026-04-14,SMB,Standard,Oli Aspira,246.06,Jakarta,Pontianak,None
ORD000163,2026-04-19,Individual,Standard,Oli Top1,206.02,Balikpapan,Palembang,Hazmat
ORD000164,2026-04-24,Enterprise,Express,Oli Federal,16.67,Surabaya,Jakarta,None
ORD000165,2026-04-29,SMB,Economy,Sparepart Motor,46.97,Medan,Semarang,Fragile
ORD000166,2026-05-04,Enterprise,Economy,Oli Top1,3633.98,Makassar,Balikpapan,Hazmat
ORD000167,2026-05-09,Enterprise,Standard,Oli Aspira,635.66,Jakarta,Manado,None
ORD000168,2026-05-14,SMB,Standard,Oli Top1,2320.99,Surabaya,Medan,Hazmat
ORD000169,2026-05-15,SMB,Standard,Oli Federal,1919.82,Balikpapan,Pontianak,None
ORD000170,2026-05-16,SMB,Economy,Oli Top1,89.93,Jakarta,Palembang,Hazmat
ORD000171,2026-05-17,Individual,Standard,Oli Aspira,15440.85,Makassar,Surabaya,Temperature_Controlled
ORD000172,2026-05-18,Individual,Express,Sparepart Motor,7514.57,Medan,Bandung,Fragile
ORD000173,2026-05-19,SMB,Economy,Oli Top1,173.18,Surabaya,Jakarta,Hazmat
ORD000174,2026-05-20,SMB,Economy,Oli Top1,1.91,Balikpapan,Manado,None
ORD000175,2026-05-01,Individual,Economy,Oli Federal,236.32,Jakarta,Medan,Hazmat
ORD000176,2026-05-05,Enterprise,Economy,Oli Top1,576.77,Surabaya,Palembang,Hazmat
ORD000177,2026-05-10,SMB,Standard,Sparepart Motor,172.16,Makassar,Pontianak,Fragile
ORD000178,2026-05-15,Enterprise,Standard,Oli Aspira,289.37,Medan,Balikpapan,None
ORD000179,2026-05-20,Enterprise,Economy,Oli Top1,116.4,Jakarta,Semarang,Hazmat
ORD000180,2026-01-15,Individual,Economy,Oli Federal,1607.53,Surabaya,Manado,None
ORD000181,2026-02-10,Individual,Express,Sparepart Motor,443.83,Balikpapan,Palembang,Fragile
ORD000182,2026-03-05,SMB,Express,Oli Top1,1681.21,Jakarta,Medan,Hazmat
ORD000183,2026-03-20,SMB,Standard,Oli Aspira,2523.26,Makassar,Pontianak,None
ORD000184,2026-04-05,Enterprise,Economy,Oli Top1,15.46,Surabaya,Bandung,Hazmat
ORD000185,2026-04-20,Enterprise,Economy,Sparepart Motor,127.0,Medan,Jakarta,Fragile
ORD000186,2026-05-01,Enterprise,Express,Oli Top1,158.22,Makassar,Manado,Hazmat
ORD000187,2026-05-05,SMB,Standard,Oli Federal,19092.65,Balikpapan,Surabaya,None
ORD000188,2026-05-10,Individual,Standard,Oli Top1,504.47,Jakarta,Palembang,Hazmat
ORD000189,2026-05-15,SMB,Economy,Sparepart Motor,1364.91,Surabaya,Medan,Fragile
ORD000190,2026-05-20,Enterprise,Economy,Oli Aspira,24.02,Makassar,Pontianak,None
ORD000191,2026-01-10,Individual,Economy,Oli Top1,500.11,Jakarta,Bandung,Hazmat
ORD000192,2026-02-15,Individual,Standard,Sparepart Motor,1750.12,Medan,Balikpapan,Fragile
ORD000193,2026-03-10,SMB,Standard,Oli Top1,1469.9,Surabaya,Manado,Hazmat
ORD000194,2026-04-05,SMB,Standard,Oli Federal,1027.72,Makassar,Palembang,None
ORD000195,2026-04-20,SMB,Express,Oli Aspira,411.37,Jakarta,Medan,Hazmat
ORD000196,2026-05-05,Enterprise,Economy,Oli Top1,442.46,Surabaya,Pontianak,None
ORD000197,2026-05-10,SMB,Economy,Sparepart Motor,31.82,Balikpapan,Jakarta,Fragile
ORD000198,2026-05-15,Individual,Economy,Oli Top1,104.5,Makassar,Semarang,Hazmat
ORD000199,2026-05-18,Enterprise,Economy,Oli Federal,570.44,Medan,Manado,None
ORD000200,2026-05-20,Enterprise,Standard,Oli Top1,137.83,Surabaya,Bandung,Hazmat
